,publishedAt,stock_queried,source_id,title,description,content,score
10,2024-04-09 01:00:11+08:00,NVIDIA,Linuxtoday.com,Developer Explains Why Explicit Sync Will Finally Solve the NVIDIA/Wayland Issues,"If you��ve ever wondered why some Linux users are experiencing issues with an NVIDIA GPU on Wayland and you aren��t, KDE developer Xaver Hugl explains in a recent post why the explicit sync protocol will finally settle the score for everyone.
The post Developer��",Advertiser Disclosure: Some of the products that appear on this site are from companies from which TechnologyAdvice receives compensation. This compensation may impact how and where products appear o�� [+169 chars],1
11,2024-04-09 23:22:00+08:00,NVIDIA,Quartz India,Google just released its AI chip rival to Nvidia,"Google said Tuesday that its Cloud TPU v5p, one of the few alternatives to Nvidia��s AI chips, is now available to developers.Read more...","Google said Tuesday that its Cloud TPU v5p, one of the few alternatives to Nvidias AI chips, is now available to developers.
The AI chip was first announced in December, the same day as its chatbot �� [+1926 chars]",4.2
12,2024-04-09 23:35:00+08:00,NVIDIA,Quartz India,Intel just released new AI hardware to compete with Nvidia,"Intel unveiled its latest AI hardware Tuesday, saying it has better performance and efficiency for training generative artificial intelligence models than industry alternatives �� even Nvidia��s highly sought after chip.Read more...","Intel unveiled its latest AI hardware Tuesday, saying it has better performance and efficiency for training generative artificial intelligence models than industry alternatives even Nvidias highly so�� [+3196 chars]",4.7
13,2024-04-09 23:47:18+08:00,NVIDIA,Techmeme.com,"Intel debuts its Gaudi 3 AI chips, set for Q3 mass production, saying they offer up to 1.7x the training performance and 40% better efficiency than Nvidia H100s (Paul Alcorn/Tom's Hardware)","Paul Alcorn / Tom's Hardware:
Intel debuts its Gaudi 3 AI chips, set for Q3 mass production, saying they offer up to 1.7x the training performance and 40% better efficiency than Nvidia H100s? ��? Intel announced its new Gaudi 3 AI processors at its Vision 2024��","About This Page
This is a Techmeme archive page.
It shows how the site appeared at 11:50?AM?ET, April?9,?2024.
The most current version of the site as always is available at our home page.
To vie�� [+68 chars]",1
14,2024-04-10 00:29:00+08:00,NVIDIA,Digital Trends,Wow! This Alienware gaming laptop with an RTX 4080 is $950 off,"Dell is selling the Alienware x16 gaming laptop with the Nvidia GeForce RTX 4080 graphics card for $2,500, which is a reasonable price for this powerful device.","Jacob Roach / Digital Trends
Are you looking for the most powerful device that you can get from the currently available gaming laptop deals? The Alienware x16 fits the bill with its Nvidia GeForce R�� [+1899 chars]",3.8
15,2024-04-10 02:36:19+08:00,NVIDIA,Digital Trends,Intel may fire the first shots in the next-gen GPU war,"Intel's Arc Battlemage graphics cards might be closer to launch than we think, and Intel might release them at the perfect time to steal some sales.","Jacob Roach / Digital Trends
The GPU market is about to start heating up in just a few short months, and that��s not just due to AMD and Nvidia. According to a new report, Intel plans to release its �� [+2554 chars]",4.2
16,2024-04-10 06:00:00+08:00,NVIDIA,Slashdot.org,Intel Says New Gaudi 3 AI Chips Top Nvidia H100s in Speed and Cost,"Intel on Tuesday unveiled its new ""Gaudi 3"" AI chip that the company claims is over twice as power-efficient and can run AI models one-and-a-half times faster than Nvidia's H100 GPU. ""It also comes in different configurations like a bundle of eight Gaudi 3 ch��","Intel tested the chip on models like Meta's open-source Llama and the Abu Dhabi-backed Falcon. It said Gaudi 3 can help train or deploy models, including Stable Diffusion or OpenAI's Whisper model fo�� [+997 chars]",3.8
17,2024-04-10 17:51:41+08:00,NVIDIA,Business Insider,Nvidia employees are getting richer with a 'special Jensen grant' that boosts their stock awards by 25%,Nvidia stock has soared in the past year and employees are set to benefit with a big boost to their options following annual performance reviews.,"Nvidia CEO Jensen Huang. Sam Yeh/AFP/Getty Images
<ul><li>Nvidia is increasing employee compensation with a stock grant named after CEO Jensen Huang.</li><li>The ""Jensen special grant"" awards an add�� [+2516 chars]",4.7
18,2024-04-10 18:28:01+08:00,NVIDIA,GSMArena.com,"Intel unveils Gaudi 3 AI accelerator, says it beats Nvidia's H100","Intel kicked off its Vision 2024 conference with the unveiling of the Gaudi 3 AI processing chip. Gaudi 3 is designed to accelerate AI workloads at an enterprise level, and Intel reckons it's faster than the current industry benchmark - Nvidia's H100 GPU.

Ga��","Intel kicked off its Vision 2024 conference with the unveiling of the Gaudi 3 AI processing chip. Gaudi 3 is designed to accelerate AI workloads at an enterprise level, and Intel reckons it's faster �� [+761 chars]",4.7
19,2024-04-10 20:36:00+08:00,NVIDIA,Quartz India,Nvidia is reportedly giving employees a 25% stock boost called the 'special Jensen grant',"Demand for Nvidia��s chips led the company to become the first chipmaker to hit a $2 trillion market cap, and now it��s reportedly rewarding staff with a stock boost. Read more...","Demand for Nvidias chips led the company to become the first chipmaker to hit a $2 trillion market cap, and now its reportedly rewarding staff with a stock boost. 
Nvidia employees are getting a one�� [+1526 chars]",4.8
20,2024-04-10 23:00:00+08:00,NVIDIA,Yahoo Entertainment,"Meta Debuts New AI Chip, Aiming to Decrease Reliance on Nvidia","(Bloomberg) -- Meta Platforms Inc. is deploying a new homegrown chip to help power its artificial intelligence services, aiming to decrease its reliance on...","(Bloomberg) -- Meta Platforms Inc. is deploying a new homegrown chip to help power its artificial intelligence services, aiming to decrease its reliance on semiconductors from Nvidia Corp. and other �� [+1843 chars]",4.2
21,2024-04-10 23:51:47+08:00,NVIDIA,Windows Central,"Dell's new XPS 16 laptop delivers a gorgeous AI PC, but divisive design",Dell's XPS 16 (9640) is an absolutely gorgeous laptop with an Intel Core Ultra AI CPU and up to an NVIDIA RTX-40 Series GPU. It's pretty powerful but comes in a divisive design.,"When naming top-of-the-line laptops, Dell is quick to jump to my lips. Over the years, this tech company has proven time and time again that it produces quality devices that can be relied upon for da�� [+28251 chars]",4.7
22,2024-04-10 23:52:16+08:00,NVIDIA,Windows Central,"Dell flash sale slashes the best XPS 15 deal to an even better price, but it ends soon!","Dell has a 48-hour flash sale that discounts some of its best laptops by hundreds of dollars. Right now, you can buy an XPS 15 for up to $700 off.",Dell has a 48-hour flash sale going on right now that can save you hundreds on an incredible range of PCs. Among the discounted devices is the XPS 15 with an Intel Core i9 and an NVIDIA GeForce RTX 4�� [+3233 chars],4.7
23,2024-04-11 00:15:24+08:00,NVIDIA,Yahoo Entertainment,ASUS ROG Zephyrus G14 (2024) review : This is the 14-inch gaming laptop to beat,"ASUS�� ROG Zephyrus G14 has been one of our favorite gaming laptops
 for damn near half a decade. But the 2024 model is on another level. That��s because even without a fresh generation of GPUs from NVIDIA, ASUS went and redesigned the entire thing anyway. And��","If you click 'Accept all', we and our partners (including 239 who are part of the IAB Transparency &amp; Consent Framework) will also store and/or access information on a device (in other words, use �� [+678 chars]",1
24,2024-04-04 12:04:06+08:00,Tesla,Business Insider,Elon Musk says he's raising Tesla engineer salaries because OpenAI has been aggressively poaching them with massive paydays,"""The talent war for AI is the craziest talent war I've ever seen!"" Musk wrote on X.","Tesla CEO Elon Musk (left) and OpenAI CEO Sam Altman (right).Beata Zawrzel/NurPhoto via Getty Images; Andrew Caballero-Reynolds/AFP via Getty Images
<ul><li>Elon Musk says he's hiking the salaries f�� [+2515 chars]",3.8
25,2024-04-04 17:52:53+08:00,Tesla,ReadWrite,Elon Musk to raise Tesla AI staff salaries to curb OpenAI poaching,"In an escalation of the artificial intelligence (AI) talent war, Tesla CEO Elon Musk said in a post on X�� Continue reading Elon Musk to raise Tesla AI staff salaries to curb OpenAI poaching
The post Elon Musk to raise Tesla AI staff salaries to curb OpenAI po��","In an escalation of the artificial intelligence (AI) talent war, Tesla CEO Elon Musk said in a post on X that OpenAI has been ��aggressively recruiting Tesla engineers with massive compensation offers�� [+2355 chars]",3.8
26,2024-04-04 18:19:43+08:00,Tesla,Business Insider,Some Tesla engineers are reportedly jumping ship to Elon Musk's AI startup,"Three former Tesla engineers have jumped ship to the AI startup xAI, The Information reported.","Elon Musk's xAI launched a chatbot, Grok, to compete with OpenAI's ChatGPT.Getty Images
<ul><li>Tesla engineers are jumping ship to Elon Musk's AI startup, The Information reported.</li><li>Three en�� [+1968 chars]",3.7
27,2024-04-04 20:22:00+08:00,Tesla,Quartz India,Elon Musk says OpenAI is 'aggressively recruiting Tesla engineers' in 'the craziest talent war I've ever seen',The Tesla CEO said it's hiking pay for its AI team based on its progress �� but a few engineers have left for the maker of ChatGPT,"Not even the (sometimes) richest man in the world is immune from the AI talent war.
OpenAI is aggressively recruiting engineers from EV maker Tesla with massive compensation offers, Tesla CEO Elon M�� [+1882 chars]",3.8
28,2024-04-04 21:18:00+08:00,Tesla,Quartz India,China's BYD to launch electric pickup to challenge Tesla's Cybertruck and Ford's F-150 Lightning,"BYD plans to launch its first electric pickup truck later this year as China��s largest electric vehicle maker takes on global automakers, including Tesla and Ford Motor Co.Read more...","BYD plans to launch its first electric pickup truck later this year as Chinas largest electric vehicle maker takes on global automakers, including Tesla and Ford Motor Co.
The Shenzhen-based automak�� [+1421 chars]",4.7
29,2024-04-05 03:35:00+08:00,Tesla,Jalopnik,"Tesla Cybertruck Owners' Forum Is Already Full Of Tales Of Broken, Malfunctioning Cybertrucks","From gunky surfaces t0embarrassingoff-roadexploits to malfunctioning after going through water, the stainless steel Tesla Cybertruck seems like an all-around mess. We cover a lot of those concerns here on Jalopnik, but if you want an even clearer picture of j��","From gunky surfaces t0?embarrassing?off-road?exploits to malfunctioning after going through water, the stainless steel Tesla Cybertruck seems like an all-around mess. We cover a lot of those concerns�� [+2876 chars]",2.1
30,2024-04-05 03:47:54+08:00,Tesla,AppleInsider,Tesla wants Apple's help to beat Autopilot death lawsuit,"Tesla wants Apple to testify in an upcoming wrongful death lawsuit over its Autopilot feature, by proving the Apple engineer behind the wheel was playing games instead of paying attention.A TeslaTesla faces a trial on April 8 over a fatal crash from 2018 invo��","A Tesla
Tesla wants Apple to testify in an upcoming wrongful death lawsuit over its Autopilot feature, by proving the Apple engineer behind the wheel was playing games instead of paying attention. 
�� [+2827 chars]",2.7
31,2024-04-05 17:00:00+08:00,Tesla,Quartz India,"Tesla's terrible week, Ford doubles down on hybrids, and Chinese EV companies innovate: Autos news roundup","Tesla has had a interesting week. On one hand, Elon Musk��s electric vehicle maker drastically underperformed in terms of sales despite several efforts to turn things around, but, on the other hand, it regained its title of top EV seller after Chinese rival BY��","Tesla has had a interesting week. On one hand, Elon Musks electric vehicle maker drastically underperformed in terms of sales despite several efforts to turn things around, but, on the other hand, it�� [+819 chars]",2.5
32,2024-04-05 17:00:00+08:00,Tesla,Quartz India,"OpenAI poaches from Tesla, Xbox tests a chatbot, and Yahoo buys Artifact: AI news roundup","The billions going into AI is reminiscent of crypto and means a ��bunch of hype and maybe some grifting,�� Google��s AI chief said �� but Google reportedly might start charging for AI-powered search.And Google just hired a former OpenAI executive to boost the com��","For many, hearing the name Foxconn immediately brings to mind iPhone production. Its true, the Taiwanese company is a major producer of Apples smartphones and other products. But it also makes someth�� [+662 chars]",3.8
33,2024-04-05 20:30:00+08:00,Tesla,Jalopnik,"Elon's Offering, But Automakers Aren��t Interested In Licensing Tesla��s Full Self-Driving System","Over the past year, Tesla showed off its Full Self-Driving advanced driver assistance tech in an underwhelming demo video shared by big boss Elon Musk. The tech has also been associated with all manner of high-profile crashes and driving misdemeanors in recen��","Over the past year, Tesla showed off its Full Self-Driving advanced driver assistance tech in an underwhelming demo video shared by big boss Elon Musk. The tech has also been associated with all mann�� [+2159 chars]",2.1
34,2024-04-05 21:17:46+08:00,Tesla,Quartz India,Tesla Cybertruck owners have a ton of complaints about the Tesla Cybertruck,"From gunky surfaces t0 embarrassing off-road exploits to malfunctioning after going through water, the stainless steel Tesla Cybertruck seems like an all-around mess. We cover a lot of those concerns here on Jalopnik, but if you want an even clearer picture o��","From gunky surfaces t0 embarrassing off-road exploits to malfunctioning after going through water, the stainless steel Tesla Cybertruck seems like an all-around mess. We cover a lot of those concerns�� [+2936 chars]",2.1
35,2024-04-05 21:22:22+08:00,Tesla,Quartz India,Elon Musk offered Tesla��s Full Self-Driving system to other automakers. No one took him up on it,"Over the past year, Tesla showed off its Full Self-Driving advanced driver assistance tech in an underwhelming demo video shared by big boss Elon Musk. The tech has also been associated with all manner of high-profile crashes and driving misdemeanors in recen��","Over the past year, Tesla showed off its Full Self-Driving advanced driver assistance tech in an underwhelming demo video shared by big boss Elon Musk. The tech has also been associated with all mann�� [+2210 chars]",2.5
36,2024-04-05 21:53:09+08:00,Tesla,Business Insider,Tesla's Cybertruck is getting a Chinese rival from BYD,"Chinese carmaker BYD released an image of its new electric pickup truck, which it plans to start selling later this year.","BYD is China's biggest EV maker.Peerapon Boonyakiat/SOPA/Getty Images
<ul><li>Chinese carmaker BYD plans to launch its first electric pickup truck this year.</li><li>It released an image of the vehi�� [+1787 chars]",4.7
37,2024-04-06 00:03:09+08:00,Tesla,Business Insider,"Elon Musk refutes report that Tesla's $25,000 car is dead",Tesla CEO Elon Musk took to social media Friday to deny a report that the $25K Tesla is dead.,"Tesla CEO Elon Musk refuted the Reuters report on X, formerly Twitter, on Friday. Ebrahim Noroozi/AP
<ul><li>Elon Musk denied a Reuters report that Tesla is scrapping plans for a $25,000 car.</li><l�� [+1093 chars]",2.5
38,2024-04-06 00:03:14+08:00,Tesla,Business Insider,Tesla is trying to get an Apple engineer to testify in its defense at its fatal Autopilot crash trial,Tesla plans to call an Apple engineer as a witness to prove that Walter Huang was playing video games on his phone before his fatal accident.,"Tesla is facing a lawsuit over its Autopilot tech. JOHN THYS / Getty
<ul><li>Tesla is being sued by the family of an Apple engineer who died in 2018 after his Model X crashed.</li><li>The family acc�� [+3757 chars]",2.5
39,2024-04-06 00:45:00+08:00,Tesla,Autoblog,Tesla slashed Model Y prices to clear its inventory backlog,"Filed under:
 Green,Tesla,Car Buying,Electric
 Continue reading Tesla slashed Model Y prices to clear its inventory backlog
Tesla slashed Model Y prices to clear its inventory backlog originally appeared on Autoblog on Fri, 5 Apr 2024 12:45:00 EDT. Please see��","Despite being the top EV seller in the U.S., Tesla had a somewhat rocky first quarter of 2024, building significantly more vehicles than it delivered. While some analysts predictions that Tesla could�� [+1980 chars]",2.7
40,2024-04-06 00:53:00+08:00,Tesla,Quartz India,"Tesla is scrapping its long-promised cheap electric vehicle in favor of robotaxis, report says","Tesla stock recovered some of its losses following a sharp drop in trading Friday, after CEO Elon Musk denied a report that the electric vehicle maker is scrapping plans for a cheap new car. Read more...","Tesla stock recovered some of its losses following a sharp drop in trading Friday, after CEO Elon Musk denied a report that the electric vehicle maker is scrapping plans for a cheap new car. 
Reuter�� [+2524 chars]",4.2
41,2024-04-06 02:00:00+08:00,Tesla,Autoblog,Tesla scraps low-cost car plans amid fierce Chinese EV competition,"Filed under:
 Green,Rumormill,Tesla,Electric
 Continue reading Tesla scraps low-cost car plans amid fierce Chinese EV competition
Tesla scraps low-cost car plans amid fierce Chinese EV competition originally appeared on Autoblog on Fri, 5 Apr 2024 14:00:00 ED��","Tesla has canceled the long-promised inexpensive car that investors have been counting on to drive its growth into a mass-market automaker, according to three sources familiar with the matter and com�� [+9534 chars]",2.2
42,2024-04-06 02:10:29+08:00,Tesla,Jalopnik,"Tesla Cancels Mass-Market $25,000 Car, Musk Says This Is A Lie","A mass-market, low-cost electric family car has long been touted as the holy grail of EVs with the potential to be as transformative to society as the Ford Model T was in the early 20th century. Elon Musk promised to deliver this dream, but those plans have s��","A mass-market, low-cost electric family car has long been touted as the holy grail of EVs with the potential to be as transformative to society as the Ford Model T was in the early 20th century. Elon�� [+1919 chars]",4.7
43,2024-04-06 03:12:14+08:00,Tesla,Ars Technica,"Tesla scraps its plan for a $25,000 Model 2 EV","Musk says that ""Reuters is lying (again)"" over reports that the Model 2 is dead.","43
Tesla has abandoned plans to develop an affordable electric Model 2, according to a report in Reuters. The news organization says it has reviewed company messages that say the affordable Model Y,�� [+1567 chars]",2.5
44,2024-04-06 03:18:00+08:00,Tesla,Quartz India,"Tesla failed to provide overtime, sick and vacation pay for workers, lawsuit says","A new proposed class action lawsuit against Tesla accuses the electric vehicle maker of committing a series of wage law violations against workers at its flagship factory in Fremont, California.Read more...","A new proposed class action lawsuit against Tesla accuses the electric vehicle maker of committing a series of wage law violations against workers at its flagship factory in Fremont, California.
The�� [+3007 chars]",2.5
45,2024-04-06 04:04:51+08:00,Tesla,9to5Mac,Tesla asks Apple to help prove driver in fatal Autopilot crash was distracted,"Tesla is set to go to court next week as part of a long-running lawsuit over the safety of its Autopilot driver assistance technology. As part of its defense, Tesla is hoping that Apple can prove that the driver in a fatal Autopilot crash was distracted by hi��","Tesla is set to go to court next week as part of a long-running lawsuit over the safety of its Autopilot driver assistance technology. As part of its defense, Tesla is hoping that Apple can prove tha�� [+2763 chars]",2.5
46,2024-04-06 04:31:05+08:00,Tesla,Business Insider,Former Tesla workers have accused the company of not paying overtime or paid sick leave in a new lawsuit,Former Tesla employees accused the company of failing to pay overtime and sick leave in a newly proposed class action lawsuit.,"Tesla is facing another lawsuit. JOHN THYS / Getty
<ul><li>Former Tesla factory workers filed a proposed class action lawsuit in California on Thursday.</li><li>Two former workers allege Tesla viola�� [+1672 chars]",2.2
47,2024-04-06 05:28:27+08:00,Tesla,Business Insider,Elon Musk says Tesla will unveil its robotaxi this year,A relatively cheap autonomous ride-hailing vehicle has been a goal of Tesla and Elon Musk's for a while now.,"Tesla CEO Elon Musk.ODD ANDERSEN/Getty Images
Elon Musk said Tesla will reveal its long-awaited robotaxi in August.""Tesla Robotaxi unveil on 8/8,"" he said on X, formerly known as Twitter, on Friday �� [+989 chars]",4.7
48,2024-04-06 05:45:00+08:00,Tesla,Gizmodo.com,Elon Musk Says Tesla Robotaxi Will Be Unveiled Aug. 8 Despite History of Broken Promises,Elon Musk denied the accuracy of a report from Reuters early Friday that claimed Tesla was scrapping plans to produce a low-cost electric vehicle in favor of a robotaxi. But the billionaire just announced on X that he��ll be unveiling a new robotaxi on August ��,Elon Musk denied the accuracy of a report from Reuters early Friday that claimed Tesla was scrapping plans to produce a low-cost electric vehicle in favor of a robotaxi. But the billionaire just anno�� [+2487 chars],3.8
49,2024-04-06 08:01:29+08:00,Tesla,Wired,Tesla Is Going All In on Robotaxis��Buckle Up,Autonomous vehicle tech has proven tricky for even the most sophisticated tech developers. But Tesla seems to be staking its future on it.,"Mark your calendars: Tesla CEO Elon Musk suggested this afternoon that his electric automaker is going all-in on autonomous vehicle techand that Teslas robotaxi will be unveiled on August 8.
The ann�� [+3783 chars]",4.7
50,2024-04-06 09:38:53+08:00,Tesla,Yahoo Entertainment,"Tesla will unveil a robotaxi on April 8, according to Musk","Tesla is introducing a robotaxi on August 8, Elon Musk has announced on X a few hours after Reuters published a report that the automaker is scrapping its plans to produce a low-cost EV. Reuters also said that Musk's directive was to ""go all in"" on robotaxis ��","If you click 'Accept all', we and our partners (including 240 who are part of the IAB Transparency &amp; Consent Framework) will also store and/or access information on a device (in other words, use �� [+678 chars]",1
51,2024-04-06 17:00:00+08:00,Tesla,Slate Magazine,The EV market has hit a speed bump. Is the electric future more distant than we thought?,Tesla isn��t cool anymore.,"If you can't access your feeds, please contact customer support.Thanks! Check your phone for a link to finish setting up your feed.
Please enter a 10-digit phone number.
Listen on your phone:RECOMM�� [+173 chars]",1
52,2024-04-06 20:45:00+08:00,Tesla,Yahoo Entertainment,"Elon Musk says Tesla will unveil its robotaxi on August 8, 2024","Continue reading Elon Musk says Tesla will unveil its robotaxi on August 8, 2024
Elon Musk says Tesla will unveil its robotaxi on August 8, 2024 originally appeared on Autoblog on Sat, 6 Apr 2024 08:45:00 EDT. Please see our terms for use of feeds.
Permalink?��","If you click 'Accept all', we and our partners (including 240 who are part of the IAB Transparency &amp; Consent Framework) will also store and/or access information on a device (in other words, use �� [+678 chars]",1
53,2024-04-07 00:46:16+08:00,Tesla,Business Insider,Mark Zuckerberg moves ahead of Elon Musk on richest person list as Tesla falters,Mark Zuckerberg just overtook Elon Musk as the third richest person in the world according to Bloomberg's Billionaire Index.,"Mark Zuckerberg and Elon Musk compete for a top spot on the Bloomberg Billionaires Index. Drew Angerer via Getty Images; Chesnot via Getty Images
<ul><li>Meta CEO Mark Zuckerberg is now the third ri�� [+1669 chars]",3.8
54,2024-04-08 00:29:00+08:00,Tesla,Quartz India,Tesla's stockpile is the biggest it's ever been �� and that means price cuts,"Tesla is taking a buzzsaw to the price of its best-selling Model Y electric crossover in an attempt to clear out its biggest-ever inventory stockpile. The Austin, Texas-based automaker is dropping prices after it produced 46,561 more vehicles than it delivere��","Tesla is taking a buzzsaw to the price of its best-selling Model Y electric crossover in an attempt to clear out its biggest-ever inventory stockpile. The Austin, Texas-based automaker is dropping pr�� [+1698 chars]",2.5
55,2024-04-08 10:08:01+08:00,Tesla,Quartz India,Tesla wants Apple's help proving a driver was playing on his iPhone when he died in an Autopilot crash,Tesla is trying to get Apple to help prove that a Model X driver who worked for the tech company was playing a video game on his iPhone when he was killed in a crash while Autopilot was engaged.Read more...,"Tesla is trying to get Apple to help prove that a Model X driver who worked for the tech company was playing a video game on his iPhone when he was killed in a crash while Autopilot was engaged.
Thi�� [+3086 chars]",2.5
56,2024-04-08 10:32:58+08:00,Tesla,Business Insider,Engineer's testimony reveals Tesla's advanced autopilot system involves following lane markings: report,"A Tesla engineer said in a deposition for a lawsuit against the EV company that Tesla relies on ""clearly marked lines"" for its autopilot system.","Tesla is set to go to trial for a wrongful death lawsuit that accuses the company of rolling out a ""defective"" autopilot system.Li Jianguo/Xinhua via Getty Images
<ul><li>Tesla is set to go to trial�� [+3585 chars]",2.1
57,2024-04-08 17:34:29+08:00,Tesla,ReadWrite,Brazil to investigate Elon Musk in heated disinformation row,"Tesla CEO Elon Musk is to be investigated by a Brazilian Supreme Court justice over reports of disseminating fake news�� Continue reading Brazil to investigate Elon Musk in heated disinformation row
The post Brazil to investigate Elon Musk in heated disinforma��","Tesla CEO Elon Musk is to be investigated by a Brazilian Supreme Court justice over reports of disseminating fake news and alleged obstruction.
Justice Alexandre de Moraes wrote in his decision that�� [+3928 chars]",2.5
58,2024-04-08 22:17:00+08:00,Tesla,Quartz India,"Crypto stocks are soaring as Bitcoin tops $72,000 �� with the big 'halving' event in sight","The week is off to a good start for cryptocurrency-related stocks like Coinbase, MicroStrategy, and Tesla, as Bitcoin��s pricereached $72,000 withthe highly-anticipated Bitcoin ��halving�� event on the horizon. Read more...","The week is off to a good start for cryptocurrency-related stocks like Coinbase, MicroStrategy, and Tesla, as Bitcoins price?reached $72,000 with?the highly-anticipated Bitcoin halving event on the h�� [+1876 chars]",4.8
59,2024-04-08 22:56:20+08:00,Tesla,Werd.io,I Tried Tesla FSD,Some screaming was involved,"So, lets get this out of the way first: I drive a Tesla Model 3. Yes, I know. And yes, even though I bought it a few years ago, there was plenty of evidence of the CEOs bad behavior and of poor condi�� [+3874 chars]",2.1
60,2024-04-08 23:10:00+08:00,Tesla,Quartz India,Elon Musk said a self-driving Tesla is coming this year. Not everyone is convinced,"After swiftly denying a report that Tesla would be dropping plans for a $25,000 electric vehicle, CEO Elon Musk made his latest promise to investors and fans �� a self-driving Tesla would be unveiled on August 8.Read more...","After swiftly denying a report that Tesla would be dropping plans for a $25,000 electric vehicle, CEO Elon Musk made his latest promise to investors and fans a self-driving Tesla would be unveiled on�� [+3519 chars]",4.7
